2022-10-26 02:04:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54a6ef6, org.springframework.security.web.context.SecurityContextPersistenceFilter@2a6dbb7c, org.springframework.security.web.header.HeaderWriterFilter@573870cb, org.springframework.security.web.authentication.logout.LogoutFilter@b6136eb, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@e993715, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7b2d58e6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@33eab2e8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5c740c5a, org.springframework.security.web.session.SessionManagementFilter@3573e19d, org.springframework.security.web.access.ExceptionTranslationFilter@41e7a544, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2168def]
2022-10-26 02:04:57 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-26 02:04:59 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8185"]
2022-10-26 02:04:59 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8185 (http) with context path '/elastic-query-service'
2022-10-26 02:04:59 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 8.208 seconds (JVM running for 9.461)
2022-10-26 02:12:58 [http-nio-8183-exec-1] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-26 02:12:58 [http-nio-8183-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-26 02:12:58 [http-nio-8183-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 40 ms
2022-10-26 02:12:59 [http-nio-8183-exec-1] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text 1
2022-10-26 02:12:59 [http-nio-8183-exec-1] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryQueryClient - 0 of documents with text 1 retrieved successfully
2022-10-26 02:12:59 [http-nio-8183-exec-1] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents on port 8183
2022-10-26 02:13:30 [http-nio-8185-exec-1] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-26 02:13:30 [http-nio-8185-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-26 02:13:30 [http-nio-8185-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 18 ms
2022-10-26 02:13:31 [http-nio-8185-exec-1] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text 1
2022-10-26 02:13:31 [http-nio-8185-exec-1] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryQueryClient - 0 of documents with text 1 retrieved successfully
2022-10-26 02:13:31 [http-nio-8185-exec-1] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents on port 8185
2022-10-26 02:15:44 [http-nio-8183-exec-3] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text 1
2022-10-26 02:15:44 [http-nio-8183-exec-3] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryQueryClient - 0 of documents with text 1 retrieved successfully
2022-10-26 02:15:44 [http-nio-8183-exec-3] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents on port 8183
2022-10-26 02:15:48 [http-nio-8185-exec-3] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text 2
2022-10-26 02:15:48 [http-nio-8185-exec-3] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryQueryClient - 0 of documents with text 2 retrieved successfully
2022-10-26 02:15:48 [http-nio-8185-exec-3] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents on port 8185
2022-10-26 02:15:52 [http-nio-8183-exec-4] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text 1
2022-10-26 02:15:52 [http-nio-8183-exec-4] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryQueryClient - 0 of documents with text 1 retrieved successfully
2022-10-26 02:15:52 [http-nio-8183-exec-4] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents on port 8183
